STUDENTID,EfficientlyCompletedBlockB
2333000033,True
2333000882,True
2333000955,True
2333001552,True
2333001935,True
2333001986,True
2333002087,False
2333002141,True
2333002494,False
2333002672,True
2333002923,True
2333003024,True
2333003181,False
2333003245,True
2333003695,False
2333003776,True
2333003971,True
2333004276,True
2333004381,False
2333004578,True
2333004721,False
2333005566,True
2333005825,False
2333006503,True
2333008034,True
2333008239,True
2333008468,True
2333008484,False
2333008492,True
2333008565,True
2333008646,True
2333008719,True
2333008816,False
2333008905,True
2333009154,True
2333009821,False
2333010772,False
2333011710,False
2333012457,False
2333013585,False
2333013909,True
2333014344,False
2333014689,True
2333014948,True
2333015006,True
2333015707,True
2333015880,True
2333016134,True
2333016541,True
2333016797,False
2333017157,False
2333017327,True
2333017424,True
2333017483,True
2333017831,False
2333018331,False
2333018676,False
2333019036,True
2333019711,False
2333019788,False
2333020280,True
2333020476,True
2333020905,True
2333021014,True
2333021235,True
2333021260,True
2333021316,False
2333021413,False
2333021766,False
2333021928,True
2333022088,True
2333022100,True
2333023378,True
2333023548,False
2333023769,True
2333023955,True
2333024218,True
2333024498,False
2333024901,True
2333024994,True
2333025761,True
2333026181,False
2333026440,True
2333026512,False
2333026695,False
2333027047,False
2333027632,False
2333028558,False
2333028655,True
2333028752,True
2333028841,False
2333028931,False
2333029261,True
2333029341,False
2333029350,False
2333029759,True
2333029953,False
2333031389,True
2333031630,True
2333031729,False
2333032644,True
2333032911,True
2333032997,False
2333033276,False
2333033420,False
2333033519,True
2333033675,True
2333033861,True
2333034027,False
2333034116,True
2333034361,True
2333034523,False
2333034817,False
2333034965,False
2333035058,False
2333035309,True
2333035635,True
2333036071,True
2333036224,True
2333036321,True
2333036488,True
2333037174,True
2333037328,False
2333037352,True
2333037514,True
2333037611,True
2333037859,False
2333037867,False
2333038022,False
2333038707,True
2333039118,True
2333039304,True
2333039398,True
2333039967,False
2333042283,False
2333042542,True
2333042631,False
2333042704,False
2333043051,True
2333043298,False
2333043441,False
2333043638,False
2333043999,False
2333044588,True
2333044677,False
2333045029,False
2333045681,False
2333045789,True
2333045975,True
2333046190,True
2333046441,True
2333046530,False
2333046637,True
2333047471,False
2333047668,False
2333048079,False
2333048761,False
2333049172,True
2333049211,True
2333050308,True
2333050405,True
2333050626,False
2333050961,True
2333051568,True
2333052599,False
2333052670,False
2333052751,True
2333053102,True
2333053269,True
2333053617,False
2333053790,False
2333054206,True
2333054362,True
2333054494,False
2333054559,True
2333054711,True
2333055067,True
2333055091,True
2333055318,True
2333055393,False
2333055580,False
2333055652,True
2333055695,False
2333055741,False
2333056683,False
2333056845,False
2333056853,False
2333056861,False
2333056942,True
2333056951,False
2333057108,True
2333057132,True
2333057191,False
2333057451,False
2333057469,False
2333057493,False
2333057701,True
2333057710,True
2333057736,True
2333058040,True
2333058082,False
2333058201,True
2333058295,True
2333058392,False
2333058554,True
2333058562,True
2333058589,True
2333058821,True
2333059232,False
2333059321,False
