,ID,Time Spent,Total Questions,Total Helps,Average Time Spent,Percentile Total Time Rank,Percentile Average Time Rank
0,2333000033,1680.62,20,0,84.031,0.5267857142857143,0.5243506493506493
1,2333000882,1169.34,20,0,58.467,0.1112012987012987,0.11038961038961038
2,2333000955,1539.943,20,0,76.99715,0.387987012987013,0.3847402597402597
3,2333001552,1667.566,20,0,83.3783,0.5137987012987013,0.5121753246753247
4,2333001935,1507.16,20,0,75.358,0.362012987012987,0.35957792207792205
5,2333001986,1756.584,15,0,117.1056,0.6420454545454546,0.9172077922077922
6,2333002087,1380.937,20,0,69.04685,0.2532467532467532,0.25162337662337664
7,2333002141,1767.683,16,0,110.480188,0.6737012987012987,0.890422077922078
8,2333002494,1685.207,13,0,129.631308,0.5332792207792207,0.9618506493506493
9,2333002672,1799.996,20,0,89.9998,1.0,0.8311688311688312
10,2333002923,1548.91,20,0,77.4455,0.3977272727272727,0.3944805194805195
11,2333003024,1623.31,20,0,81.1655,0.46834415584415584,0.4667207792207792
12,2333003181,1587.143,20,0,79.35715,0.4310064935064935,0.42857142857142855
13,2333003245,1294.216,20,0,64.7108,0.1875,0.1858766233766234
14,2333003695,1737.504,20,1,86.8752,0.6047077922077922,0.5925324675324676
15,2333003776,1680.78,17,0,98.869412,0.5275974025974026,0.8612012987012987
16,2333003971,1345.576,20,0,67.2788,0.22321428571428573,0.2215909090909091
17,2333004276,1788.637,14,0,127.759786,0.786525974025974,0.9472402597402597
18,2333004381,1174.473,20,0,58.72365,0.11607142857142858,0.11525974025974026
19,2333004578,1757.693,15,0,117.179533,0.6444805194805194,0.9180194805194806
20,2333004721,1357.764,20,0,67.8882,0.23214285714285715,0.2305194805194805
21,2333005566,1798.34,20,0,89.917,0.9163961038961039,0.7784090909090909
22,2333005825,1413.313,20,0,70.66565,0.2727272727272727,0.2711038961038961
23,2333006503,1799.113,20,1,89.95565,0.9456168831168831,0.7946428571428571
24,2333008034,1794.943,20,0,89.74715,0.8538961038961039,0.7402597402597403
25,2333008239,1069.856,20,0,53.4928,0.06574675324675325,0.06574675324675325
26,2333008468,1595.173,20,0,79.75865,0.4383116883116883,0.43587662337662336
27,2333008484,985.413,20,0,49.27065,0.044642857142857144,0.044642857142857144
28,2333008492,1713.047,20,0,85.65235,0.5633116883116883,0.5576298701298701
29,2333008565,1602.19,20,0,80.1095,0.4448051948051948,0.44237012987012986
30,2333008646,1786.393,17,0,105.081941,0.7678571428571429,0.8798701298701299
31,2333008719,1713.57,20,0,85.6785,0.5641233766233766,0.5584415584415584
32,2333008816,1545.23,20,0,77.2615,0.3944805194805195,0.3912337662337662
33,2333008905,1778.677,20,0,88.93385,0.7256493506493507,0.6712662337662337
34,2333009154,1476.89,20,0,73.8445,0.3287337662337662,0.32711038961038963
35,2333009821,1795.18,20,0,89.759,0.8587662337662337,0.7426948051948052
36,2333010772,1129.66,20,0,56.483,0.09496753246753246,0.09415584415584416
37,2333011710,1242.6,20,0,62.13,0.1534090909090909,0.1525974025974026
38,2333012457,1774.764,14,1,126.768857,0.7061688311688312,0.9415584415584416
39,2333013585,1798.64,16,0,112.415,0.9285714285714286,0.9066558441558441
40,2333013909,1615.14,20,0,80.757,0.4569805194805195,0.45535714285714285
41,2333014344,1776.37,20,0,88.8185,0.7118506493506493,0.6623376623376623
42,2333014689,1786.736,20,1,89.3368,0.7711038961038961,0.6996753246753247
43,2333014948,1765.917,20,0,88.29585,0.6696428571428571,0.6387987012987013
44,2333015006,1558.837,20,1,77.94185,0.4074675324675325,0.4042207792207792
45,2333015707,1787.693,12,0,148.974417,0.7767857142857143,0.9805194805194806
46,2333015880,1461.214,20,0,73.0607,0.31737012987012986,0.31493506493506496
47,2333016134,1736.307,20,0,86.81535,0.6030844155844156,0.5909090909090909
48,2333016541,1798.873,15,0,119.924867,0.9391233766233766,0.9358766233766234
49,2333016797,1798.747,20,0,89.93735,0.9334415584415584,0.7873376623376623
50,2333017157,1721.55,20,0,86.0775,0.5787337662337663,0.5722402597402597
51,2333017327,1247.363,20,0,62.36815,0.15665584415584416,0.15584415584415584
52,2333017424,1715.974,20,0,85.7987,0.5665584415584416,0.5608766233766234
53,2333017483,1770.72,20,0,88.536,0.6875,0.6493506493506493
54,2333017831,1494.52,20,0,74.726,0.3482142857142857,0.3465909090909091
55,2333018331,1186.644,20,0,59.3322,0.1185064935064935,0.1176948051948052
56,2333018676,1789.09,20,0,89.4545,0.7922077922077922,0.7086038961038961
57,2333019036,1720.74,20,1,86.037,0.5771103896103896,0.5706168831168831
58,2333019711,1797.39,20,1,89.8695,0.8920454545454546,0.765422077922078
59,2333019788,1059.533,20,0,52.97665,0.06168831168831169,0.06168831168831169
60,2333020280,1318.58,20,0,65.929,0.2069805194805195,0.20535714285714285
61,2333020476,1337.657,20,0,66.88285,0.2159090909090909,0.21428571428571427
62,2333020905,1274.043,20,0,63.70215,0.17613636363636365,0.17532467532467533
63,2333021014,1799.83,18,0,99.990556,0.9857954545454546,0.8758116883116883
64,2333021235,1784.05,20,0,89.2025,0.7540584415584416,0.6891233766233766
65,2333021260,1674.667,20,0,83.73335,0.5211038961038961,0.5194805194805194
66,2333021316,1393.554,20,0,69.6777,0.2621753246753247,0.26055194805194803
67,2333021413,1325.82,20,0,66.291,0.21185064935064934,0.21022727272727273
68,2333021766,725.08,20,0,36.254,0.008928571428571428,0.008928571428571428
69,2333021928,1717.223,20,1,85.86115,0.5706168831168831,0.564935064935065
70,2333022088,1660.147,20,0,83.00735,0.5073051948051948,0.5056818181818182
71,2333022100,1464.944,20,0,73.2472,0.3198051948051948,0.31737012987012986
72,2333023378,1777.923,20,0,88.89615,0.7207792207792207,0.6688311688311688
73,2333023548,1755.267,20,0,87.76335,0.6396103896103896,0.6168831168831169
74,2333023769,1321.594,20,0,66.0797,0.2086038961038961,0.2069805194805195
75,2333023955,1481.944,20,0,74.0972,0.3392857142857143,0.33766233766233766
76,2333024218,1786.67,20,0,89.3335,0.7702922077922078,0.6988636363636364
77,2333024498,1742.594,20,0,87.1297,0.6160714285714286,0.6006493506493507
78,2333024901,1795.233,20,1,89.76165,0.859577922077922,0.7435064935064936
79,2333024994,1501.11,20,0,75.0555,0.35633116883116883,0.3538961038961039
80,2333025761,1785.12,20,0,89.256,0.7597402597402597,0.6931818181818182
81,2333026181,1131.313,20,0,56.56565,0.09577922077922078,0.09496753246753246
82,2333026440,1796.867,14,0,128.347643,0.8810876623376623,0.952922077922078
83,2333026512,974.91,20,0,48.7455,0.040584415584415584,0.040584415584415584
84,2333026695,1289.937,20,0,64.49685,0.18506493506493507,0.18344155844155843
85,2333027047,1128.473,20,0,56.42365,0.09415584415584416,0.09334415584415584
86,2333027632,835.993,20,0,41.79965,0.018668831168831168,0.018668831168831168
87,2333028558,1743.77,20,0,87.1885,0.6185064935064936,0.6030844155844156
88,2333028655,1664.874,20,0,83.2437,0.5121753246753247,0.510551948051948
89,2333028752,1479.51,20,0,73.9755,0.3352272727272727,0.3336038961038961
90,2333028841,1693.96,15,0,112.930667,0.5430194805194806,0.9090909090909091
91,2333028931,1799.683,11,0,163.607545,0.9732142857142857,0.9902597402597403
92,2333029261,1744.933,15,0,116.328867,0.6209415584415584,0.9147727272727273
93,2333029341,1798.486,19,0,94.657158,0.9228896103896104,0.8547077922077922
94,2333029350,1727.414,17,0,101.612588,0.5876623376623377,0.8766233766233766
95,2333029759,1540.567,20,0,77.02835,0.38961038961038963,0.38636363636363635
96,2333029953,1789.036,16,0,111.81475,0.7913961038961039,0.8977272727272727
97,2333031389,1773.493,14,0,126.678071,0.700487012987013,0.9407467532467533
98,2333031630,1579.763,20,0,78.98815,0.4237012987012987,0.4212662337662338
99,2333031729,1751.517,14,0,125.108357,0.6290584415584416,0.9383116883116883
100,2333032644,1678.97,20,0,83.9485,0.5243506493506493,0.5227272727272727
101,2333032911,1791.0,20,0,89.55,0.8116883116883117,0.7191558441558441
