generations: 1000
Best solution:
100001111010111000110101110101101011110010111001111011110000100001100010010101111110111110001001101100010001110100100101100100011001100011011110001100100111 -18838488.079026256
-18838488.079026256
Average: -2652299.525557	Std Deviation: 3608317.779750
Median: -1665674.647574	Std Deviation: 3745257.314882
Generation #0:	-8376650.262384
Generation #1:	-11672039.809715
Generation #2:	-11673183.581722
Generation #3:	-10923260.165245
Generation #4:	-11517211.571290
Generation #5:	-11519710.393402
Generation #6:	-11523216.959411
Generation #7:	-11525901.188706
Generation #8:	-11525901.188706
Generation #9:	-11527101.743775
Generation #10:	-13424580.380167
Generation #11:	-13424627.329614
Generation #12:	-13429609.442845
Generation #13:	-13429609.442845
Generation #14:	-13429922.062031
Generation #15:	-15059214.946352
Generation #16:	-15059214.946352
Generation #17:	-15059414.232982
Generation #18:	-15063242.462849
Generation #19:	-15067464.574162
Generation #20:	-15260203.117505
Generation #21:	-15260203.117505
Generation #22:	-15262503.956804
Generation #23:	-16317062.826153
Generation #24:	-16318617.314692
Generation #25:	-16319692.362813
Generation #26:	-16319800.028976
Generation #27:	-16498658.517105
Generation #28:	-16500031.117096
Generation #29:	-16500961.672970
Generation #30:	-16501049.716095
Generation #31:	-16502892.791642
Generation #32:	-16502892.791642
Generation #33:	-16502892.791642
Generation #34:	-16505551.682474
Generation #35:	-16505551.682474
Generation #36:	-16505809.543441
Generation #37:	-16506339.571100
Generation #38:	-16509159.207231
Generation #39:	-16509159.207231
Generation #40:	-18812265.525008
Generation #41:	-18814057.085034
Generation #42:	-18814057.085034
Generation #43:	-18815335.335828
Generation #44:	-18815335.335828
Generation #45:	-18815335.335828
Generation #46:	-18815719.970969
Generation #47:	-18822006.942648
Generation #48:	-18822244.222454
Generation #49:	-18822244.222454
Generation #50:	-18823723.572927
Generation #51:	-18824046.052265
Generation #52:	-18824046.052265
Generation #53:	-18824895.168963
Generation #54:	-18826011.479503
Generation #55:	-18826011.479503
Generation #56:	-18826614.406420
Generation #57:	-18827291.442609
Generation #58:	-18827291.442609
Generation #59:	-18827454.465211
Generation #60:	-18827475.216449
Generation #61:	-18827559.658292
Generation #62:	-18827789.125836
Generation #63:	-18827911.447944
Generation #64:	-18828146.153563
Generation #65:	-18828146.153563
Generation #66:	-18828225.383726
Generation #67:	-18828808.891602
Generation #68:	-18828808.891602
Generation #69:	-18828808.891602
Generation #70:	-18828985.470133
Generation #71:	-18829046.784828
Generation #72:	-18829046.784828
Generation #73:	-18829232.974200
Generation #74:	-18830173.110796
Generation #75:	-18830173.110796
Generation #76:	-18830203.427667
Generation #77:	-18830738.319229
Generation #78:	-18831124.894720
Generation #79:	-18831124.894720
Generation #80:	-18831196.798396
Generation #81:	-18831501.018934
Generation #82:	-18831501.018934
Generation #83:	-18831690.694496
Generation #84:	-18831690.694496
Generation #85:	-18831930.352186
