generations: 1000
Best solution:
[171,158,143,165,179,246,144,63,157,257,95,102,44,193,84,5,150,86,4,45,273,237,155,58,126,56,175,252,75,70,89,130,83,35,66,203,255,199,186,124,232,202,217,136,188,127,51,91,64,73,74,77,23,16,121,180,174,114,68,24,138,25,120,211,274,52,59,170,90,94,279,111,142,228,47,247,267,71,231,20,168,271,85,207,169,29,9,72,146,65,222,235,76,93,119,266,36,197,13,166,88,22,0,173,153,241,213,49,249,210,82,6,80,245,100,134,10,189,226,46,176,69,140,238,154,2,113,191,38,151,21,244,161,96,260,259,15,234,205,212,107,230,55,185,263,214,215,118,224,162,26,195,28,229,106,194,79,236,253,262,278,132,27,62,103,268,14,149,115,233,265,109,275,105,147,258,242,167,41,227,67,1,178,98,108,272,54,135,11,133,177,128,60,34,196,117,163,3,184,156,218,104,270,220,61,277,223,33,145,37,152,53,141,19,256,81,164,97,239,92,159,243,129,183,248,40,101,137,208,219,187,206,269,50,276,122,8,48,221,209,57,139,198,190,148,30,17,87,181,99,43,31,225,112,216,160,42,261,131,125,182,240,12,78,39,18,110,123,172,200,251,32,116,204,254,192,201,264,250,7] -2275891431.70
-2275891431.7014976
Average: -59380644.347339	Std Deviation: 11512832.460853
Median: -65064348.868747	Std Deviation: 12861056.816842
Generation #0:	-2275891431.701498
Generation #1:	-43202104.337824
Generation #2:	-53205706.324138
Generation #3:	-23761059.162722
Generation #4:	-30940290.298289
Generation #5:	-20427356.878127
Generation #6:	-8122006.526619
Generation #7:	-6175708.289306
Generation #8:	-33171542.381141
Generation #9:	-35417876.276428
Generation #10:	-2014656892.756286
Generation #11:	-11272300.314796
Generation #12:	-31315380.903730
Generation #13:	-18411076.003913
Generation #14:	-110501720.433265
Generation #15:	-2099594527.020702
Generation #16:	-7961943.219679
Generation #17:	-25015632.863673
Generation #18:	-5536656.400386
Generation #19:	-2094659247.561085
Generation #20:	-457283392.469682
Generation #21:	-2103625098.079175
Generation #22:	-31190848.505474
Generation #23:	-2206054706.966367
Generation #24:	-79625643.366568
Generation #25:	-22570152.643690
Generation #26:	-115065447.027649
Generation #27:	-9081172.275331
Generation #28:	-124914806.376690
Generation #29:	-69934683.638085
