generations: 1000
Best solution:
[41,878,436,525,262,25,109,349,888,113,471,934,509,235,697,712,9,394,557,507,274,718,160,273,242,952,683,253,189,247,55,648,373,824,281,344,381,856,821,996,576,62,906,278,618,991,700,941,54,823,795,454,271,766,51,289,749,458,354,505,480,86,806,629,848,882,22,722,296,606,671,371,709,34,574,524,238,91,577,338,154,644,732,468,927,92,887,175,291,145,142,16,527,94,277,553,474,837,239,38,213,808,546,207,869,478,955,958,668,797,450,508,835,858,447,771,889,616,801,743,379,420,987,176,134,294,143,805,490,398,754,259,769,567,733,852,112,654,418,383,737,75,224,396,188,638,690,359,921,180,833,120,198,411,140,46,177,594,73,860,185,515,440,311,422,597,219,326,536,854,290,149,774,799,900,402,643,930,746,397,266,102,956,410,883,412,475,744,463,853,131,537,77,871,31,246,578,364,264,6,591,907,736,817,947,741,372,98,775,503,209,704,267,973,195,943,601,602,735,377,343,214,429,570,713,115,868,819,256,711,791,174,237,596,229,99,358,696,52,932,642,850,951,560,380,781,667,417,717,964,884,589,295,409,488,337,190,366,292,584,63,155,227,573,449,182,168,194,297,183,88,502,33,42,954,807,759,100,287,511,612,49,571,310,210,526,85,211,617,859,539,627,911,433,800,986,331,726,251,870,233,461,501,831,626,481,451,423,363,923,637,28,37,432,330,628,286,268,587,462,590,981,408,132,309,346,2,694,522,21,4,74,780,36,873,250,997,789,56,959,651,893,985,621,61,724,19,604,157,738,498,613,283,723,980,26,897,772,674,477,29,118,215,787,191,846,133,315,485,32,950,484,395,427,757,434,443,245,815,864,416,35,426,661,153,974,216,212,236,995,816,607,392,252,513,23,517,280,332,693,200,867,122,936,84,588,755,810,327,529,822,167,827,814,665,57,249,65,178,199,187,790,387,360,976,972,258,681,80,678,448,595,288,582,583,558,818,740,87,566,148,232,181,321,17,24,592,788,653,47,83,421,144,752,885,322,894,783,499,223,126,898,698,920,339,68,119,960,908,401,896,285,1,406,374,518,103,110,439,208,593,903,545,492,40,866,382,702,978,186,692,684,162,67,841,114,575,792,656,695,306,761,768,307,39,369,658,58,710,623,333,550,838,565,228,844,552,388,615,489,464,151,44,767,619,14,482,431,240,206,455,139,465,457,512,376,276,519,469,11,905,378,992,758,15,368,135,730,669,325,108,603,121,64,510,847,624,622,793,989,705,600,225,82,881,691,725,365,699,324,470,486,356,506,547,953,641,849,796,340,715,70,117,30,50,933,453,918,282,301,351,569,798,521,138,876,721,670,647,166,620,342,636,971,127,542,926,81,95,828,483,107,706,646,548,419,763,632,561,685,76,988,386,598,998,293,257,355,719,664,71,890,137,563,977,794,533,839,220,585,124,353,269,880,441,734,531,317,609,78,476,655,442,404,367,682,446,308,170,939,400,803,862,865,430,965,204,962,348,825,161,949,319,362,872,782,352,328,141,496,370,193,645,460,999,909,66,778,375,399,707,221,779,961,948,657,904,826,922,497,731,150,261,633,231,244,357,265,662,957,60,3,438,284,676,452,811,341,230,742,302,714,944,241,703,136,925,345,260,313,535,312,701,843,467,473,729,504,222,334,202,913,832,673,840,272,760,902,487,196,523,929,625,493,93,776,982,263,660,437,910,456,279,303,5,532,899,520,393,680,863,751,687,784,762,931,979,184,218,785,834,786,171,0,875,152,820,105,53,163,361,530,652,689,304,874,243,323,608,164,677,106,891,611,892,634,938,329,650,555,27,111,967,631,384,942,425,12,197,540,640,877,146,916,169,937,172,804,466,836,802,572,984,299,842,226,415,116,165,192,528,300,773,347,320,336,963,581,13,635,554,173,614,750,753,659,403,765,314,541,924,255,48,104,919,970,217,845,248,101,203,435,494,945,748,855,966,861,72,829,534,59,390,305,975,89,514,969,413,777,20,812,335,414,445,407,879,993,543,639,851,156,96,727,630,18,316,672,201,813,43,983,610,125,500,385,666,389,516,544,756,538,45,935,90,318,428,556,147,663,994,472,179,915,928,716,579,69,688,580,679,605,599,479,946,857,391,586,123,895,708,495,405,234,990,720,128,97,912,770,686,254,205,747,728,159,562,649,675,940,129,7,424,739,564,444,350,158,914,275,130,549,745,830,968,917,491,568,8,809,551,270,559,764,459,79,886,10,298,901] -4169857513.13
-4169857513.1286616
Average: -127765660.056192	Std Deviation: 3659494.235027
Median: -128752339.579746	Std Deviation: 3797304.293643
Generation #0:	-49111994.676124
Generation #1:	-1033050627.645047
Generation #2:	-1814741662.313000
Generation #3:	-159957081.927926
Generation #4:	-2105492927.914809
Generation #5:	-802362599.967969
Generation #6:	-113607028.148694
Generation #7:	-115203517.894828
Generation #8:	-170844603.766270
Generation #9:	-68553656.545206
Generation #10:	-53845154.036824
Generation #11:	-261199528.669220
Generation #12:	-423529291.163584
Generation #13:	-181635391.590624
Generation #14:	-93285410.409241
Generation #15:	-149378758.371370
Generation #16:	-157184459.449212
Generation #17:	-85854105.352866
Generation #18:	-109959918.008500
Generation #19:	-31465150.678182
Generation #20:	-72072187.346261
Generation #21:	-4169857513.128662
Generation #22:	-227530471.709834
Generation #23:	-141401529.577181
Generation #24:	-160744523.753042
Generation #25:	-4162593440.781367
Generation #26:	-355848458.627832
Generation #27:	-183718867.028031
Generation #28:	-403808897.816294
Generation #29:	-129231377.579220
