generations: 1000
Best solution:
010011101111100011100011011010001010101001110111110100101010010011010100001111100110100111100010110000011110010101101101001110111011001101000010001001100110101000101110101011000010101101100100100000001001100000000100110100100001100 -54964879.813613005
-54964879.813613005
Average: -2885364.040824	Std Deviation: 173571.786798
Median: -2935280.963845	Std Deviation: 180631.834625
Generation #0:	-3397669.197874
Generation #1:	-782994.497959
Generation #2:	-936690.135810
Generation #3:	-854960.735379
Generation #4:	-1215876.566202
Generation #5:	-2268361.117378
Generation #6:	-2897916.230273
Generation #7:	-677715.690825
Generation #8:	-54963032.309932
Generation #9:	-33582923.132353
Generation #10:	-647513.254925
Generation #11:	-1751696.802290
Generation #12:	-5615190.365441
Generation #13:	-3933194.479477
Generation #14:	-3708184.816628
Generation #15:	-1554612.920693
Generation #16:	-17018721.537105
Generation #17:	-3263785.448782
Generation #18:	-51985096.402472
Generation #19:	-54964879.813613
Generation #20:	-7644689.884222
Generation #21:	-1090378.123227
Generation #22:	-5691434.648337
Generation #23:	-636414.296135
Generation #24:	-7234178.613904
Generation #25:	-4357690.099370
Generation #26:	-17011616.831192
Generation #27:	-7208883.269611
Generation #28:	-6010551.351054
Generation #29:	-2998071.772594
