generations: 1000
Best solution:
[82,8,85,56,11,54,24,72,0,17,23,89,48,55,96,3,18,52,78,37,98,75,15,70,25,40,93,13,69,95,64,47,9,36,73,32,65,26,87,99,71,77,74,4,20,94,31,51,79,67,7,34,63,61,41,58,12,66,84,30,59,53,90,38,62,43,46,33,68,14,29,5,22,28,21,39,16,81,19,91,76,88,45,60,57,42,10,6,83,80,35,27,1,92,49,44,86,50,2,97] -66691808.81
-66691808.80699002
Average: -10039928.769870	Std Deviation: 394390.633831
Median: -9974402.459149	Std Deviation: 399823.357230
Generation #0:	-3601619.127150
Generation #1:	-14053996.651552
Generation #2:	-10570537.448071
Generation #3:	-4239500.426880
Generation #4:	-11338557.141638
Generation #5:	-32090055.178094
Generation #6:	-2152564.533302
Generation #7:	-5880306.358214
Generation #8:	-10527284.938635
Generation #9:	-8722657.991793
Generation #10:	-31717015.135908
Generation #11:	-5775059.293191
Generation #12:	-6307218.988596
Generation #13:	-4061583.730875
Generation #14:	-32118104.066802
Generation #15:	-1872484.422706
Generation #16:	-4891105.660960
Generation #17:	-6189219.871873
Generation #18:	-1217282.196449
Generation #19:	-5312109.526155
Generation #20:	-3950738.393259
Generation #21:	-15673060.857281
Generation #22:	-31403949.045751
Generation #23:	-12334758.175202
Generation #24:	-15777264.934052
Generation #25:	-2245138.734574
Generation #26:	-66691808.806990
Generation #27:	-10540705.638716
Generation #28:	-7049426.227835
Generation #29:	-10366361.919612
