generations: 1000
Best solution:
[141,178,20,15,216,161,165,7,93,65,115,112,82,76,91,98,171,169,101,205,163,159,107,55,208,43,31,162,180,50,158,53,26,3,185,193,186,152,0,125,160,119,211,108,110,10,126,2,224,127,214,18,77,145,83,23,80,14,81,47,209,24,151,148,8,147,130,117,113,22,195,157,11,37,221,132,35,52,140,85,60,25,114,39,199,61,103,123,21,54,168,128,62,49,156,182,217,30,222,70,175,5,6,190,36,200,122,42,121,150,73,51,99,29,75,41,137,179,116,149,219,189,106,187,181,142,64,46,57,131,153,198,183,45,79,144,32,170,218,17,212,109,90,63,105,38,104,204,194,58,120,19,154,143,4,33,197,13,102,172,92,78,210,166,138,59,86,177,155,84,9,72,40,118,133,207,223,66,71,192,191,94,89,174,134,124,34,88,188,28,97,139,206,173,95,136,48,1,202,196,16,203,135,184,100,176,220,44,96,129,67,215,68,74,12,111,164,56,146,27,213,201,167,69,87] -792750359.73
-792750359.7309626
Average: -5885765.116998	Std Deviation: 733860.062274
Median: -6074364.324048	Std Deviation: 758016.011543
Generation #0:	-33723391.098681
Generation #1:	-26196908.840335
Generation #2:	-41416808.478671
Generation #3:	-57417526.794072
Generation #4:	-9380319.017364
Generation #5:	-49030670.724069
Generation #6:	-16709146.297529
Generation #7:	-792750359.730963
Generation #8:	-6097855.793178
Generation #9:	-35676308.504973
Generation #10:	-30389451.350215
Generation #11:	-52729504.536210
Generation #12:	-41563835.553464
Generation #13:	-18227732.821989
Generation #14:	-34966962.553593
Generation #15:	-5131967.113289
Generation #16:	-8308724.692140
Generation #17:	-16305010.767997
Generation #18:	-3972101.276612
Generation #19:	-28231957.389650
Generation #20:	-144424784.776684
Generation #21:	-18582323.052994
Generation #22:	-3187235.877704
Generation #23:	-126993087.113510
Generation #24:	-21895087.799190
Generation #25:	-12421572.939948
Generation #26:	-18861232.663407
Generation #27:	-11600546.499448
Generation #28:	-268031593.834260
Generation #29:	-6575959.771069
