generations: 1000
Best solution:
[131,39,93,87,31,4,44,76,78,105,88,74,136,135,121,75,101,81,91,109,108,117,70,71,27,21,122,45,46,49,90,79,89,96,104,25,102,24,84,26,85,22,58,13,72,20,110,19,99,5,59,100,140,77,139,69,9,52,153,64,152,80,23,67,155,68,149,60,6,73,150,114,62,17,103,7,65,142,18,86,143,61,148,2,98,0,63,1,83,134,51,129,8,94,35,118,82,12,11,92,158,32,115,3,144,95,56,106,15,128,97,111,53,126,137,40,154,127,41,50,156,10,120,147,29,42,43,130,151,124,47,36,34,57,145,54,146,113,66,112,30,119,133,141,107,132,55,125,14,48,138,123,33,38,28,16,116,37,157] -518669757.86
-518669757.85677636
Average: -4762416.294430	Std Deviation: 235447.689312
Median: -4744065.359858	Std Deviation: 236168.229505
Generation #0:	-10120765.514464
Generation #1:	-11332155.879020
Generation #2:	-11887976.958184
Generation #3:	-173292546.686485
Generation #4:	-26410991.074090
Generation #5:	-4935054.030322
Generation #6:	-43955711.412663
Generation #7:	-4140750.331227
Generation #8:	-8092948.492133
Generation #9:	-7447724.598303
Generation #10:	-3960998.112908
Generation #11:	-8999887.440639
Generation #12:	-26825037.453952
Generation #13:	-71816588.454731
Generation #14:	-44900890.405002
Generation #15:	-3235720.833847
Generation #16:	-4421105.864690
Generation #17:	-518669757.856776
Generation #18:	-3892448.852916
Generation #19:	-11952475.669019
Generation #20:	-15953645.044632
Generation #21:	-28659591.745762
Generation #22:	-4594139.260872
Generation #23:	-18824267.044109
Generation #24:	-6133602.932773
Generation #25:	-16669533.027660
Generation #26:	-38789005.763260
Generation #27:	-70154003.220861
Generation #28:	-10150073.880663
Generation #29:	-5046880.294658
