generations: 1000
Best solution:
[40,498,174,198,333,411,298,251,280,229,511,259,105,562,551,534,463,88,71,109,384,354,163,223,486,548,400,270,473,351,326,392,441,161,304,286,275,505,291,57,376,115,254,457,155,100,36,59,559,16,299,383,385,360,255,464,249,303,136,538,87,23,137,393,439,362,228,250,451,271,520,527,421,449,49,276,311,25,390,214,346,176,414,523,156,117,106,470,292,404,207,185,158,508,12,142,418,132,4,178,208,550,114,374,490,220,19,260,510,478,51,435,445,221,168,509,309,2,48,388,85,369,297,133,541,395,381,281,339,483,553,371,317,352,448,67,28,224,536,193,372,266,143,453,474,308,212,20,60,147,356,282,230,479,433,493,533,159,330,364,79,379,516,560,102,358,316,408,204,571,213,375,244,94,557,518,35,257,247,165,495,138,442,195,186,430,318,420,215,535,164,455,485,465,503,120,269,47,305,519,422,111,491,431,141,370,227,122,243,86,39,561,460,222,182,487,327,458,417,544,524,386,530,7,61,43,401,295,290,263,267,343,172,235,289,183,217,564,340,107,262,278,118,18,37,566,190,9,399,14,466,344,258,373,499,231,17,546,70,296,187,242,75,146,66,347,150,68,82,31,497,77,218,171,84,336,237,199,246,90,3,54,387,504,380,424,128,27,245,110,522,65,64,306,13,521,181,547,506,200,328,206,50,202,154,345,148,63,225,98,415,78,130,394,450,396,113,8,456,359,69,436,10,471,248,366,45,332,489,313,477,53,74,514,569,353,210,310,552,301,29,402,127,542,80,468,0,129,419,144,162,226,500,44,116,492,529,22,283,365,160,407,348,403,26,62,452,234,145,563,573,539,170,216,288,467,24,274,166,555,131,73,191,76,532,484,219,272,454,188,545,320,201,179,124,405,444,81,494,253,480,30,96,434,528,341,34,194,314,496,55,256,423,543,475,367,38,121,481,570,502,568,382,294,56,119,1,99,446,357,513,331,205,152,549,427,173,377,151,300,97,335,412,322,428,5,89,517,398,554,239,180,426,135,6,252,15,265,537,325,476,232,378,429,277,233,197,93,279,440,42,315,104,157,192,83,175,196,319,567,203,92,108,169,46,334,167,416,515,525,123,462,41,425,293,572,342,507,211,355,565,134,101,189,443,153,273,264,72,21,261,285,11,139,472,52,488,91,469,324,112,413,558,482,126,312,363,526,149,368,389,531,540,323,329,287,321,447,337,241,349,184,209,338,397,391,236,410,302,438,361,140,268,461,307,437,177,501,556,284,125,95,512,58,238,406,33,240,432,32,103,350,409,459] -1021649958.43
-1021649958.4266316
Average: -10856229.625315	Std Deviation: 959833.475942
Median: -11076956.451682	Std Deviation: 985738.629080
Generation #0:	-1021649958.426632
Generation #1:	-21789822.631752
Generation #2:	-69597022.411186
Generation #3:	-204931555.785742
Generation #4:	-19384033.170085
Generation #5:	-419598307.478393
Generation #6:	-119757086.069498
Generation #7:	-1045695903.468141
Generation #8:	-71187286.725017
Generation #9:	-55533296.709455
Generation #10:	-35550485.257860
Generation #11:	-56437447.388256
Generation #12:	-15698574.800223
Generation #13:	-33860452.011757
Generation #14:	-30012315.051484
Generation #15:	-447044737.137404
Generation #16:	-34060221.515279
Generation #17:	-50303742.716381
Generation #18:	-286154921.131311
Generation #19:	-189943103.077568
Generation #20:	-79747736.647408
Generation #21:	-50217961.491994
Generation #22:	-76391189.546696
Generation #23:	-38772437.217715
Generation #24:	-63711154.804331
Generation #25:	-61569526.142837
Generation #26:	-1018116267.043189
Generation #27:	-846631701.130969
Generation #28:	-51230531.355824
Generation #29:	-12463677.254017
