generations: 1000
Best solution:
[215,492,34,690,601,60,430,221,174,238,190,442,536,54,557,521,327,564,201,146,649,316,7,610,665,227,57,654,287,402,337,340,510,541,522,383,66,519,317,461,559,249,533,429,167,705,482,633,26,388,301,46,119,124,431,580,116,698,484,710,286,697,299,575,491,150,149,135,313,539,581,121,625,497,31,692,419,645,159,178,504,365,457,165,446,73,712,120,532,404,240,720,547,411,68,175,424,426,455,154,421,272,94,706,566,18,656,449,537,489,256,191,608,470,628,653,216,640,312,138,511,42,595,542,588,702,311,652,228,513,49,613,86,639,269,579,130,474,9,279,463,650,619,410,211,111,226,367,131,281,555,234,454,65,6,700,621,253,571,310,722,291,106,342,516,693,208,278,524,384,36,14,717,318,612,593,260,233,172,681,643,615,462,719,145,576,472,708,574,323,87,394,630,351,704,202,23,422,544,331,659,289,24,460,292,398,413,567,194,546,290,52,718,309,183,129,74,352,512,15,677,264,263,335,93,408,485,109,206,406,715,480,180,427,627,148,274,375,214,545,684,354,591,387,464,13,563,100,689,142,420,543,177,344,84,396,220,307,136,355,268,122,147,468,496,266,40,655,276,59,162,562,369,391,414,631,71,401,155,296,321,632,435,618,439,500,558,636,75,478,322,495,81,531,270,629,540,553,329,179,666,107,22,357,169,549,252,606,425,267,445,237,151,451,295,282,695,328,637,572,569,527,101,239,25,436,596,686,293,200,336,4,584,403,370,378,225,674,173,187,503,508,577,28,204,368,483,338,96,363,716,364,520,667,620,459,602,251,137,525,350,409,433,670,578,219,95,77,275,642,246,218,55,611,315,271,416,348,380,609,27,164,193,143,50,37,339,389,115,662,76,450,198,160,673,343,713,663,592,377,1,163,703,126,675,568,113,709,644,366,456,353,376,505,347,247,481,223,56,83,605,210,330,53,493,261,672,502,182,452,476,444,680,530,10,623,12,432,341,379,501,241,132,72,412,125,20,356,236,82,3,319,603,507,534,229,184,224,538,467,176,67,158,362,8,232,41,393,622,438,140,283,486,70,152,526,195,440,417,326,523,80,679,61,465,141,560,688,103,548,222,550,466,181,108,203,284,428,687,78,35,19,38,314,98,297,273,535,320,723,300,2,434,306,157,374,33,551,395,105,258,517,97,441,235,257,437,614,604,488,443,646,664,626,171,423,696,390,490,5,128,477,21,561,469,607,682,303,325,598,188,51,213,346,91,651,170,479,528,556,405,104,32,196,400,308,676,448,685,302,361,92,499,88,487,305,144,475,506,565,585,660,254,45,372,635,294,701,11,641,597,245,16,199,298,285,134,668,58,515,707,694,168,678,691,90,85,47,43,243,589,385,582,552,586,358,647,79,657,669,248,381,277,661,230,386,29,63,64,616,110,397,186,114,209,359,102,161,189,683,371,407,518,212,349,570,624,453,242,671,721,471,638,600,554,205,324,127,166,333,345,599,89,217,360,153,156,594,265,509,207,262,17,498,334,112,583,373,458,590,185,192,415,117,514,48,447,244,118,139,573,699,587,288,39,392,123,382,62,99,418,133,634,304,280,648,494,231,658,473,197,259,617,399,30,250,44,0,255,529,714,711,69,332] -1050153470.59
-1050153470.5901229
Average: -283258409.425446	Std Deviation: 59208475.136715
Median: -316159761.601793	Std Deviation: 67963748.021948
Generation #0:	-26732199.352454
Generation #1:	-65122966.514188
Generation #2:	-145969351.154332
Generation #3:	-151662942.620501
Generation #4:	-60370883.195963
Generation #5:	-22311685.469756
Generation #6:	-331498946.481981
Generation #7:	-37854741.390562
Generation #8:	-64042997.371156
Generation #9:	-174540091.129072
Generation #10:	-499598396.559663
Generation #11:	-234351408.623519
Generation #12:	-51813332.220885
Generation #13:	-26342378.552497
Generation #14:	-46297299.190139
Generation #15:	-89635487.759558
Generation #16:	-260556285.256965
Generation #17:	-161483972.264156
Generation #18:	-58291030.245980
Generation #19:	-19728755.837796
Generation #20:	-1081368427.220326
Generation #21:	-245056951.974009
Generation #22:	-25290356.474795
Generation #23:	-37530899.113067
Generation #24:	-72887103.466007
Generation #25:	-153326873.301420
Generation #26:	-208817750.887335
Generation #27:	-112448956.355168
Generation #28:	-944212946.167264
Generation #29:	-332505114.729525
